speaker,text,date,year,debate_id
Pence,They call it comprehensive immigration reform — they call it comprehensive immigration reform on Capitol Hill. We all know the routine. It’s amnesty. And you heard one of the last things he mentioned was border security.,2016-10-04,2016,2016_October_4_2016
Pence,"They always say we’re going to do this, we’re going to do that, we’ll eventually get the border…[crosstalk]",2016-10-04,2016,2016_October_4_2016
Kaine,"… border security three years ago, and Governor Pence was against it.",2016-10-04,2016,2016_October_4_2016
Quijano,"Governor, Mr. Trump has said…",2016-10-04,2016,2016_October_4_2016
Pence,"Ronald Reagan said a nation without borders is not a nation. Donald Trump is committed to restoring the borders of this nation and securing our nation, enforcing our laws.",2016-10-04,2016,2016_October_4_2016
Quijano,"So, Governor, how would these millions of undocumented immigrants leave? Would they be forcibly removed?",2016-10-04,2016,2016_October_4_2016
Pence,"Well, I think Donald Trump laid out a series of priorities that doesn’t ends with border security. It begins with border security. And after we secure the border, not only build a wall, but beneath the ground and in the air, we do internal enforcement.",2016-10-04,2016,2016_October_4_2016
Kaine,I just have to correct Governor Pence….,2016-10-04,2016,2016_October_4_2016
Pence,… where people can come into this country.,2016-10-04,2016,2016_October_4_2016
Kaine,I have to…,2016-10-04,2016,2016_October_4_2016
Pence,"That’s the order that you should do it. Border security, removing criminal aliens, upholding with law, and then — but then, Senator, I’ll work you when you go back to the Senate, I promise you, we’ll work with you to reform the immigration system.",2016-10-04,2016,2016_October_4_2016
Kaine,"I look forward to working together in whatever capacities we serve in. But I just want to make it very, very clear that he’s trying to fuzz up what Donald Trump has said. When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said, no, we’re building a wall, and we’re deporting everybody. He said, quote, “They will all be gone.” “They will all be gone.” And this is one of these ones where you can just go to the tape on it and see what Donald Trump has said. And to add…",2016-10-04,2016,2016_October_4_2016
Pence,He’s talking about criminal aliens.,2016-10-04,2016,2016_October_4_2016
Kaine,"And to add to it, and to add to it, and to add to it, we are a nation of immigrants. Mike Pence and I both are descended from immigrant families. Some things, you know, maybe weren’t said so great about the Irish when they came, but we’ve done well by absorbing immigrants, and it’s made our nation stronger.",2016-10-04,2016,2016_October_4_2016
Quijano,"Gentleman, I’d like to shift now to the threat of terrorism. Do you think the world today is a safer or more dangerous place than it was eight years ago? Has the terrorist threat increased or decreased? Senator Kaine?",2016-10-04,2016,2016_October_4_2016
Kaine,"The terrorist threat has decreased in some ways, because bin Laden is dead. The terrorist threat has decreased in some ways because an Iranian nuclear weapons program has been stopped. The terrorist threat to United States troops has been decreased in some ways because there’s not 175,000 in a dangerous part of the world. There’s only 15,000.",2016-10-04,2016,2016_October_4_2016
Pence,"Oh, please. Come on.",2016-10-04,2016,2016_October_4_2016
Kaine,"… and Saddam Hussein. And last and most dangerously, Donald Trump believes — Donald Trump believes that the world will be safer if more nations have nuclear weapons. He’s said Saudi Arabia should get them, Japan should get them, Korea should get them. And when he was confronted with this, and told, wait a minute, terrorists could get those, proliferation could lead to nuclear war, here’s what Donald Trump said, and I quote: “Go ahead, folks, enjoy yourselves.”",2016-10-04,2016,2016_October_4_2016
Quijano,Governor Pence?,2016-10-04,2016,2016_October_4_2016
Pence,Did you work on that one a long time? Because that had a lot of really creative lines in it.,2016-10-04,2016,2016_October_4_2016
Kaine,"Well, I’m going to see if you can defend any of it.",2016-10-04,2016,2016_October_4_2016
Pence,"Well, look, I can defend — I — I — I can — I can make very clear to the American people, after traveling millions of miles as our secretary of state, after being the architect of the foreign policy of this administration, America is less safe today than it was the day that Barack Obama became president of the United States. It’s absolutely inarguable.",2016-10-04,2016,2016_October_4_2016
Kaine,I was in Virginia where the Pentagon’s…[crosstalk],2016-10-04,2016,2016_October_4_2016
Pence,I know you were. We all lived through that day as a nation. It was heartbreaking. And I want to give this president credit for bringing Osama bin Laden to justice.,2016-10-04,2016,2016_October_4_2016
Kaine,Stopping a nuclear weapons program without firing a shot?,2016-10-04,2016,2016_October_4_2016
Pence,You didn’t stop the nuclear weapons program.,2016-10-04,2016,2016_October_4_2016
Kaine,"Yes, we did.",2016-10-04,2016,2016_October_4_2016
Pence,You essentially…,2016-10-04,2016,2016_October_4_2016
Kaine,Even the Israeli military says it stopped.,2016-10-04,2016,2016_October_4_2016
Pence,"… guaranteed that Iran will someday become a nuclear power, because there’s no limitations once the period of time of the treaty comes off.",2016-10-04,2016,2016_October_4_2016
Quijano,"Governor Pence, Mr. Trump has proposed extreme vetting of immigrants from parts of the world that export terrorism. But that does not address many of the recent terrorist attacks in the United States, such as the Orlando nightclub massacre and the recent bombings in New York and New Jersey. Those were homegrown, committed by U.S. citizens and legal residents. What specific tools would you use to prevent those kinds of attacks?",2016-10-04,2016,2016_October_4_2016
